,match_id,date,referee,variable,value,venue,team_id,team_name
82,3597788,2021-09-12 07:00:00,Peter Kjaersgaard,fouls_for,9,H,9939,Viborg
83,3597788,2021-09-12 07:00:00,Peter Kjaersgaard,fouls_ag,7,H,9939,Viborg
84,3597785,2021-09-10 11:00:00,Mikkel Redder,fouls_for,11,H,8113,Midtjylland
85,3597785,2021-09-10 11:00:00,Mikkel Redder,fouls_ag,15,H,8113,Midtjylland
86,3597779,2021-08-29 11:00:00,Morten Krogh,fouls_for,16,H,8071,AGF Aarhus
87,3597779,2021-08-29 11:00:00,Morten Krogh,fouls_ag,19,H,8071,AGF Aarhus
88,3597778,2021-08-29 13:00:00,Sandi Putros,fouls_for,12,H,8595,Brøndby IF
89,3597778,2021-08-29 13:00:00,Sandi Putros,fouls_ag,13,H,8595,Brøndby IF
90,3597787,2021-09-13 12:00:00,Anders Poulsen,fouls_for,9,H,8414,Odense
91,3597787,2021-09-13 12:00:00,Anders Poulsen,fouls_ag,10,H,8414,Odense
92,3597786,2021-09-12 11:00:00,Michael Tykgaard,fouls_for,12,H,8071,AGF Aarhus
93,3597786,2021-09-12 11:00:00,Michael Tykgaard,fouls_ag,15,H,8071,AGF Aarhus
94,3597789,2021-09-12 09:00:00,Sandi Putros,fouls_for,11,H,8410,Randers FC
95,3597789,2021-09-12 09:00:00,Sandi Putros,fouls_ag,7,H,8410,Randers FC
96,3597791,2021-09-17 12:00:00,Jens Grabski Maae,fouls_for,15,H,8470,Aalborg BK
97,3597791,2021-09-17 12:00:00,Jens Grabski Maae,fouls_ag,8,H,8470,Aalborg BK
98,3597795,2021-09-20 12:00:00,Joergen Daugbjerg Burchardt,fouls_for,9,H,8415,Silkeborg
99,3597795,2021-09-20 12:00:00,Joergen Daugbjerg Burchardt,fouls_ag,22,H,8415,Silkeborg
100,3597798,2021-09-27 12:00:00,Jonas Hansen,fouls_for,16,H,8071,AGF Aarhus
101,3597798,2021-09-27 12:00:00,Jonas Hansen,fouls_ag,14,H,8071,AGF Aarhus
102,3597801,2021-09-26 07:00:00,Jakob Kehlet,fouls_for,13,H,9939,Viborg
103,3597801,2021-09-26 07:00:00,Jakob Kehlet,fouls_ag,8,H,9939,Viborg
104,3597797,2021-09-26 07:00:00,Joergen Daugbjerg Burchardt,fouls_for,11,H,8113,Midtjylland
105,3597797,2021-09-26 07:00:00,Joergen Daugbjerg Burchardt,fouls_ag,16,H,8113,Midtjylland
106,3597796,2021-09-26 11:00:00,Sandi Putros,fouls_for,4,H,8595,Brøndby IF
107,3597796,2021-09-26 11:00:00,Sandi Putros,fouls_ag,10,H,8595,Brøndby IF
108,3597794,2021-09-19 09:00:00,Morten Krogh,fouls_for,13,H,8487,SønderjyskE
109,3597794,2021-09-19 09:00:00,Morten Krogh,fouls_ag,10,H,8487,SønderjyskE
110,3597793,2021-09-19 07:00:00,Jakob Sundberg,fouls_for,14,H,8410,Randers FC
111,3597793,2021-09-19 07:00:00,Jakob Sundberg,fouls_ag,8,H,8410,Randers FC
112,3597792,2021-09-19 07:00:00,Aydin Uslu,fouls_for,5,H,8231,Vejle Boldklub
113,3597792,2021-09-19 07:00:00,Aydin Uslu,fouls_ag,14,H,8231,Vejle Boldklub
114,3597807,2021-10-03 07:00:00,Anders Poulsen,fouls_for,7,H,8415,Silkeborg
115,3597807,2021-10-03 07:00:00,Anders Poulsen,fouls_ag,9,H,8415,Silkeborg
116,3597790,2021-09-19 11:00:00,Jakob Kehlet,fouls_for,16,H,8391,FC København
117,3597790,2021-09-19 11:00:00,Jakob Kehlet,fouls_ag,9,H,8391,FC København
118,3597799,2021-09-26 09:00:00,Mads-Kristoffer Kristoffersen,fouls_for,7,H,10202,Nordsjælland
119,3597799,2021-09-26 09:00:00,Mads-Kristoffer Kristoffersen,fouls_ag,12,H,10202,Nordsjælland
120,3597800,2021-09-26 13:00:00,Mikkel Redder,fouls_for,9,H,8231,Vejle Boldklub
121,3597800,2021-09-26 13:00:00,Mikkel Redder,fouls_ag,6,H,8231,Vejle Boldklub
122,3597805,2021-10-01 12:00:00,Jakob Sundberg,fouls_for,13,H,8414,Odense
123,3597805,2021-10-01 12:00:00,Jakob Sundberg,fouls_ag,11,H,8414,Odense
124,3597804,2021-10-03 07:00:00,Mikkel Redder,fouls_for,13,H,8470,Aalborg BK
125,3597804,2021-10-03 07:00:00,Mikkel Redder,fouls_ag,8,H,8470,Aalborg BK
126,3597803,2021-10-03 13:00:00,Morten Krogh,fouls_for,5,H,8391,FC København
127,3597803,2021-10-03 13:00:00,Morten Krogh,fouls_ag,13,H,8391,FC København
128,3597817,2021-10-22 12:00:00,Jonas Hansen,fouls_for,11,H,8231,Vejle Boldklub
129,3597817,2021-10-22 12:00:00,Jonas Hansen,fouls_ag,11,H,8231,Vejle Boldklub
130,3597802,2021-10-03 09:00:00,Sandi Putros,fouls_for,9,H,8113,Midtjylland
131,3597802,2021-10-03 09:00:00,Sandi Putros,fouls_ag,13,H,8113,Midtjylland
132,3597806,2021-10-03 11:00:00,Jens Grabski Maae,fouls_for,11,H,8410,Randers FC
133,3597806,2021-10-03 11:00:00,Jens Grabski Maae,fouls_ag,10,H,8410,Randers FC
134,3597812,2021-10-15 12:00:00,Peter Kjaersgaard,fouls_for,9,H,9939,Viborg
135,3597812,2021-10-15 12:00:00,Peter Kjaersgaard,fouls_ag,8,H,9939,Viborg
136,3597809,2021-10-18 12:10:00,Jakob Sundberg,fouls_for,14,H,8071,AGF Aarhus
137,3597809,2021-10-18 12:10:00,Jakob Sundberg,fouls_ag,15,H,8071,AGF Aarhus
138,3597808,2021-10-17 09:00:00,Mads-Kristoffer Kristoffersen,fouls_for,6,H,8595,Brøndby IF
139,3597808,2021-10-17 09:00:00,Mads-Kristoffer Kristoffersen,fouls_ag,9,H,8595,Brøndby IF
140,3597813,2021-10-17 11:00:00,Joergen Daugbjerg Burchardt,fouls_for,9,H,8487,SønderjyskE
141,3597813,2021-10-17 11:00:00,Joergen Daugbjerg Burchardt,fouls_ag,13,H,8487,SønderjyskE
